gene,category,rest_engagement,stim48_axis_proj,stim8_axis_proj
AKAP11,inflammatory,0.030629023909568787,0.5197962522506714,-0.23894305527210236
AKAP12,inflammatory,0.08536024391651154,0.5639432668685913,-0.16744710505008698
AKAP17A,resting_sparing_suppressor,0.10310997813940048,-0.7865549325942993,-0.39163392782211304
AKAP8L,other,0.2809852957725525,-0.4938648045063019,-0.34402477741241455
AKAP9,other,0.05215972661972046,-0.4295029938220978,0.08705645054578781
AKIRIN1,other,0.16866804659366608,-0.04029139131307602,0.2774847149848938
AKR1B1,resting_sparing_suppressor,0.033632028847932816,-0.5900141000747681,-0.5654154419898987
AKR1C3,other,0.13893041014671326,-0.21033060550689697,-0.22133556008338928
AKR1E2,other,0.09694133698940277,-0.11740861088037491,0.46864771842956543
AKR7A2,other,0.134511336684227,-0.3694815933704376,-0.3225553035736084
AKT1S1,inflammatory,0.14719249308109283,0.35257962346076965,-0.4612146317958832
ALDH1A1,other,0.25200697779655457,0.13427630066871643,0.13267168402671814
ALDH1B1,resting_sparing_suppressor,0.2065848857164383,-0.5267751812934875,-0.19984309375286102
ALDH3A2,other,0.03014766238629818,-0.1760132908821106,0.1706208884716034
ALDH5A1,inflammatory,0.0561642087996006,0.34703871607780457,0.3743017613887787
ALDH7A1,inflammatory,0.06506232172250748,0.6076167225837708,0.0022688829340040684
ALDH9A1,inflammatory,0.033514972776174545,0.28544265031814575,-0.43302494287490845
ALDOC,inflammatory,0.24844984710216522,0.18278923630714417,0.033533815294504166
ALG3,other,0.10240485519170761,-0.43674197793006897,-0.5794618129730225
ALG5,other,0.02157549001276493,0.025595013052225113,-0.05481887608766556
ALG6,other,0.25439879298210144,-0.6126847267150879,-0.2591051757335663
ALG8,resting_sparing_suppressor,0.20332106947898865,-0.6584455370903015,-0.5997709035873413
ALKAL2,inflammatory,0.04175077751278877,0.6479962468147278,0.13671666383743286
ALKBH1,inflammatory,0.274596631526947,0.1849389672279358,0.3938714563846588
ALKBH2,damaging,0.37237584590911865,-0.30926641821861267,0.08056125789880753
ALKBH3,damaging,0.3603035807609558,-0.6573946475982666,0.4362577795982361
ALKBH4,resting_sparing_suppressor,0.06693362444639206,-0.5741521716117859,-0.30813103914260864
ALKBH5,other,0.292527437210083,-0.6287796497344971,-0.5774571299552917
ALKBH8,other,0.1047591045498848,-0.37054872512817383,0.01351777371019125
