gene,condition,EN_D1,EN_D4
ARHGAP10,Rest,6.127106189727783,5.659951210021973
ARHGAP11A,Rest,6.955650806427002,5.699285507202148
ARHGAP11B,Rest,5.804018974304199,5.6131911277771
ARHGAP15,Rest,6.921604156494141,4.808757305145264
ARHGAP17,Rest,5.388059616088867,5.760616302490234
ARHGAP21,Rest,6.624794960021973,4.690273284912109
ARHGAP24,Rest,7.01296329498291,5.082880973815918
ARHGAP26,Rest,4.29899787902832,5.569245338439941
ARHGAP30,Rest,7.188857555389404,5.118286609649658
ARHGAP31,Rest,5.104216575622559,5.275321960449219
ARHGAP5,Rest,6.943057060241699,4.970579624176025
ARHGAP9,Rest,7.505743980407715,5.765620708465576
ARHGDIB,Rest,5.596488952636719,5.4952168464660645
ARHGEF12,Rest,6.660205364227295,5.917786598205566
ARHGEF19,Rest,6.969258785247803,3.9566731452941895
ARHGEF39,Rest,7.431229114532471,5.44492244720459
ARHGEF40,Rest,7.113966941833496,5.278372287750244
ARHGEF5,Rest,7.003901958465576,4.809243679046631
ARHGEF6,Rest,4.359861850738525,5.699917793273926
ARHGEF9,Rest,7.846291542053223,5.35090446472168
ARID3A,Rest,7.153256416320801,5.717135906219482
ARIH2,Rest,6.476022243499756,4.1763153076171875
ARL13B,Rest,6.526507377624512,4.484781742095947
ARL14,Rest,6.825038433074951,5.245726108551025
ARL15,Rest,5.8736653327941895,5.165092468261719
ARL2BP,Rest,7.710692405700684,4.991041660308838
ARL3,Rest,7.215887546539307,5.910378456115723
ARL4C,Rest,6.177289962768555,5.25615930557251
ARL5A,Rest,7.504219055175781,5.544985294342041
ARL6,Rest,7.187758922576904,5.488278865814209
ARL6IP1,Rest,6.996840000152588,5.150394439697266
ARL6IP4,Rest,6.095130443572998,5.707777976989746
ARL8A,Rest,7.101595401763916,5.870928764343262
ARL8B,Rest,7.965516090393066,4.459444522857666
ARMC1,Rest,7.74269437789917,4.4030961990356445
ARMC2,Rest,6.9366655349731445,5.31833028793335
