perturbation,line,state,EN_mean,EN_lo,EN_hi,argmin_mean,argmin_lo,argmin_hi,rstar_mean,rstar_lo,rstar_hi,splithalf_rho_EN,splithalf_rho_argmin,occ_entropy,state_div,cell_disp,effect_size,n_de,n_cells
ALG13,k562,S,6.3612,5.8855,6.622,5.533,5.0,7.0,5.4,5.0,7.0,0.9481,0.831,0.9041,0.00137,0.13684,1.6735,45,167
ALG13,k562,G2M,6.3418,6.0348,6.5211,5.267,5.0,7.0,5.133,5.0,6.3,0.9554,0.8305,0.9041,0.00137,0.13684,1.6735,45,167
ALG14,k562,G1,5.9285,5.7383,6.0876,6.0,6.0,6.0,6.0,6.0,6.0,0.9692,0.8496,0.8589,0.00196,0.12653,1.3477,15,177
ALG14,k562,S,5.925,5.7836,6.0753,6.0,6.0,6.0,6.0,6.0,6.0,0.9481,0.831,0.8589,0.00196,0.12653,1.3477,15,177
ALG14,k562,G2M,5.8631,5.3416,6.054,6.0,6.0,6.0,6.0,6.0,6.0,0.9554,0.8305,0.8589,0.00196,0.12653,1.3477,15,177
ALG2,k562,G1,5.2759,5.1319,5.4952,5.0,5.0,5.0,5.0,5.0,5.0,0.9692,0.8496,0.9446,0.00297,0.13427,1.7167,29,228
ALG2,k562,S,5.3043,5.0644,5.5006,5.0,5.0,5.0,5.0,5.0,5.0,0.9481,0.831,0.9446,0.00297,0.13427,1.7167,29,228
ALG2,k562,G2M,5.3485,5.1496,5.5599,5.0,5.0,5.0,5.0,5.0,5.0,0.9554,0.8305,0.9446,0.00297,0.13427,1.7167,29,228
ANAPC11,k562,G1,6.9228,6.8838,6.9666,3.933,3.35,4.0,3.8,3.0,4.0,0.9692,0.8496,0.7381,0.00917,0.12835,2.1559,96,66
ANAPC11,k562,S,6.939,6.8746,6.9835,4.0,4.0,4.0,3.8,3.0,4.0,0.9481,0.831,0.7381,0.00917,0.12835,2.1559,96,66
ANAPC11,k562,G2M,6.9385,6.8834,6.981,4.0,4.0,4.0,3.867,3.0,4.0,0.9554,0.8305,0.7381,0.00917,0.12835,2.1559,96,66
ANAPC13,k562,G1,6.7793,6.6633,6.8956,8.0,8.0,8.0,8.0,8.0,8.0,0.9692,0.8496,0.9092,0.00144,0.1378,1.6984,35,104
ANAPC13,k562,S,6.8081,6.6118,6.9231,8.0,8.0,8.0,8.0,8.0,8.0,0.9481,0.831,0.9092,0.00144,0.1378,1.6984,35,104
ANAPC13,k562,G2M,6.8264,6.7107,6.9272,8.0,8.0,8.0,8.0,8.0,8.0,0.9554,0.8305,0.9092,0.00144,0.1378,1.6984,35,104
ANKLE2,k562,G1,5.1726,4.8513,5.6768,8.0,8.0,8.0,8.0,8.0,8.0,0.9692,0.8496,0.8504,0.00176,0.13732,1.7167,29,111
ANKLE2,k562,S,5.3373,4.6959,6.0367,7.867,7.0,8.0,7.733,7.0,8.0,0.9481,0.831,0.8504,0.00176,0.13732,1.7167,29,111
ANKLE2,k562,G2M,5.3604,4.9096,5.9345,7.867,7.0,8.0,7.667,7.0,8.0,0.9554,0.8305,0.8504,0.00176,0.13732,1.7167,29,111
ANKRD11,k562,G1,6.8084,6.6671,6.8941,8.0,8.0,8.0,8.0,8.0,8.0,0.9692,0.8496,0.8542,0.00207,0.11137,2.3391,93,184
ANKRD11,k562,S,6.8294,6.5715,6.9197,8.0,8.0,8.0,8.0,8.0,8.0,0.9481,0.831,0.8542,0.00207,0.11137,2.3391,93,184
ANKRD11,k562,G2M,6.8193,6.5653,6.9089,8.0,8.0,8.0,8.0,8.0,8.0,0.9554,0.8305,0.8542,0.00207,0.11137,2.3391,93,184
ANKRD49,k562,G1,6.385,6.2138,6.7557,7.0,7.0,7.0,7.0,7.0,7.0,0.9692,0.8496,0.881,0.00013,0.12862,1.4748,15,139
ANKRD49,k562,S,6.378,6.0351,6.6282,7.0,7.0,7.0,7.0,7.0,7.0,0.9481,0.831,0.881,0.00013,0.12862,1.4748,15,139
ANKRD49,k562,G2M,6.2686,5.9016,6.4628,7.0,7.0,7.0,7.0,7.0,7.0,0.9554,0.8305,0.881,0.00013,0.12862,1.4748,15,139
ANKS6,k562,G1,6.6948,6.6051,6.754,5.0,5.0,5.0,5.0,5.0,5.0,0.9692,0.8496,0.8099,0.0024,0.13437,1.7796,47,89
ANKS6,k562,S,6.6806,6.5795,6.7629,5.0,5.0,5.0,5.0,5.0,5.0,0.9481,0.831,0.8099,0.0024,0.13437,1.7796,47,89
ANKS6,k562,G2M,6.6583,6.4822,6.7795,5.0,5.0,5.0,5.0,5.0,5.0,0.9554,0.8305,0.8099,0.0024,0.13437,1.7796,47,89
ANLN,k562,G1,7.0992,7.0727,7.1228,8.0,8.0,8.0,8.0,8.0,8.0,0.9692,0.8496,0.8425,0.00663,0.12533,1.6659,27,93
ANLN,k562,S,7.1231,7.0856,7.2326,8.0,8.0,8.0,8.0,8.0,8.0,0.9481,0.831,0.8425,0.00663,0.12533,1.6659,27,93
ANLN,k562,G2M,7.1045,7.0716,7.1699,8.0,8.0,8.0,8.0,8.0,8.0,0.9554,0.8305,0.8425,0.00663,0.12533,1.6659,27,93
AP2S1,k562,G1,5.7677,5.5434,6.0783,5.0,5.0,5.0,5.0,5.0,5.0,0.9692,0.8496,0.9136,0.0088,0.1351,2.9044,174,98
AP2S1,k562,S,5.8001,5.3039,6.5936,5.0,5.0,5.0,5.0,5.0,5.0,0.9481,0.831,0.9136,0.0088,0.1351,2.9044,174,98
AP2S1,k562,G2M,5.5761,5.1857,5.8119,5.0,5.0,5.0,5.0,5.0,5.0,0.9554,0.8305,0.9136,0.0088,0.1351,2.9044,174,98
ARGLU1,k562,G1,6.0142,5.8499,6.1696,6.0,6.0,6.0,5.933,5.35,6.0,0.9692,0.8496,0.8297,0.00072,0.13231,1.8982,47,442
