candidate,n_lines,lines,mean_score_pct,best_rank,mean_response_cosine,anchor_class_mode,anchor_class_consistency,anchors,mean_delta_E_N,any_tox_essential,all_tox_essential,recurrence_note
BANP,3,"hepg2,jurkat,rpe1",0.3499313192418278,288,0.3682,Other cytosolic protein,0.6666666666666666,PRKCA;RPL17;RPL26,0.0539999999999999,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
CALR,3,"hepg2,jurkat,rpe1",0.3493330821786531,487,0.2707666666666666,Enzyme; Transferase,0.3333333333333333,XPO1;NPM1;POLD1,0.53,False,False,non_essential(safety-pass)
GNPNAT1,3,"hepg2,k562,rpe1",0.3475349960588169,182,0.2621,Enzyme,0.3333333333333333,PPIA;POLD3;NDUFB10,0.474,False,False,non_essential(safety-pass)
TIMM13,3,"hepg2,jurkat,k562",0.3449153471130866,207,0.46725,Enzyme; Protease; Threonine protease; Threonine protease PBT clan; Threonine protease T1A subfamily,1.0,PSMB5;NDUFA11;NDUFA6,-0.841,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
SNRPD1,3,"hepg2,k562,rpe1",0.343943022510208,437,0.62245,Enzyme; Protease; Threonine protease; Threonine protease PBT clan; Threonine protease T1A subfamily,0.5,PSMB2;SEM1;PSMA4,-0.592,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
ILF2,3,"jurkat,k562,rpe1",0.3421523528367517,477,0.50485,Other cytosolic protein,1.0,RPS20;RPL26;RPL35,-0.072,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
TIMM10,3,"hepg2,jurkat,rpe1",0.3415049623196187,404,0.4702999999999999,Enzyme; Oxidoreductase,0.6666666666666666,NDUFAB1;FAU,-0.015,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
MED30,3,"hepg2,jurkat,k562",0.341314270144616,307,0.6045499999999999,Enzyme; Kinase; Protein Kinase; TK protein kinase group; Tyrosine protein kinase JakA family,0.5,POLA1;TYK2;POLE,-1.197,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
SLC25A3,3,"jurkat,k562,rpe1",0.3408648987354617,365,0.2060499999999999,Enzyme; Oxidoreductase,1.0,NDUFV2;NDUFA8,-0.79,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
NCAPD2,3,"hepg2,jurkat,rpe1",0.3391233126731242,180,0.3981999999999999,Enzyme; Transferase,0.6666666666666666,POLA1;RBX1,0.0069999999999999,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
NDC1,3,"hepg2,jurkat,rpe1",0.3373336167229941,440,0.3385666666666667,Enzyme,0.3333333333333333,PLK1;NPM1;POLD3,0.9865,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
TTC1,3,"hepg2,jurkat,rpe1",0.3351994094158812,229,0.4622333333333333,Enzyme; Aminoacyltransferase,0.3333333333333333,PSMB2;NDUFAB1;RBX1,0.5780000000000001,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
BCLAF1,3,"hepg2,k562,rpe1",0.3338477803399984,308,0.17855,Enzyme; Transferase,0.5,POLA1;PRIM1;BCL2L1,-0.7905,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
NELFA,3,"hepg2,jurkat,rpe1",0.3334399092158218,355,0.4499666666666666,Enzyme; Kinase; Protein Kinase; Atypical protein kinase group; Atypical protein kinase PIKK family,0.3333333333333333,ATR;TYK2;RPL26,-2.163,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
SLU7,3,"jurkat,k562,rpe1",0.3324847077729955,157,0.57155,Enzyme; Transferase,1.0,SEM1;FNTA;POLA1,-1.624,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
NSUN4,3,"hepg2,jurkat,rpe1",0.3323238803884058,249,-0.0104,Enzyme; Oxidoreductase,0.6666666666666666,NDUFAB1;RPL13,-1.0625,False,False,non_essential(safety-pass)
CENPK,3,"hepg2,k562,rpe1",0.3318103358497797,301,0.7294,Enzyme; Kinase; Protein Kinase; CAMK protein kinase group; CAMK protein kinase CAMK1 family; CAMK protein kinase CHK1 subfamily,0.3333333333333333,CHEK1;FNTA;HDAC7,-2.2039999999999997,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
INTS9,3,"hepg2,jurkat,k562",0.3262025314057509,107,0.31125,Enzyme; Phosphatase; Protein Phosphatase; Serine/threonine protein phosphatase,1.0,PPP2CA;SEM1,-1.608,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
INTS14,3,"hepg2,jurkat,rpe1",0.3239827211748901,157,0.3373333333333333,Enzyme; Oxidoreductase,0.5,IMPDH2;RPL41;SEM1,1.969,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
IPO13,3,"jurkat,k562,rpe1",0.3232962968276816,254,0.43745,Other cytosolic protein,0.6666666666666666,RPL5;FNTA,-2.103,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
ARGLU1,3,"hepg2,jurkat,rpe1",0.320940894622412,511,0.2904666666666666,Enzyme,0.5,UMPS;SEM1;RPL14,-0.3324999999999999,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
TAZ,3,"hepg2,jurkat,rpe1",0.3206129660767612,418,0.3342,NOT_FOUND,0.5,PSMA3;NDUFA3;SEM1,0.5779999999999998,False,False,non_essential(safety-pass)
MRPS11,3,"jurkat,k562,rpe1",0.3200699514141192,419,-0.06615,Other cytosolic protein,1.0,RPS20;NDUFA6;FAU,-1.315,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
MIPEP,3,"hepg2,jurkat,rpe1",0.319829009708133,308,0.1422333333333333,NOT_FOUND,1.0,RPLP0;NDUFB4,-2.122,False,False,non_essential(safety-pass)
