perturbation,EN_learned,argmin_depth,effect_size
GLE1,3.0,6.0,3.5108
GLRX3,3.0,6.0,1.9114
GLRX5,3.0,1.0,1.8026
GMPPB,3.0,6.0,1.8026
GMPS,3.0,7.0,2.2107
GNB1L,3.0,5.667,2.0175
GNL2,3.0,2.0,3.8914
GNL3,3.0,2.0,4.3507
GNL3L,3.0,7.0,3.0769
GNPNAT1,3.0,1.0,1.7673
GOLT1B,3.0,7.0,1.7247
GPKOW,3.0,2.0,3.0407
GPN1,3.0,2.0,4.9968
GPN2,3.0,4.0,4.4497
GPS1,3.0,6.0,2.0315
GRPEL1,3.0,2.0,4.2404
GRWD1,3.0,7.0,1.5576
GSPT1,3.0,5.0,5.9152
GTF2A1,3.0,6.0,3.9564
GTF2A2,3.0,6.0,3.1125
GTF2B,3.0,2.0,4.2217
GTF2E1,3.0,4.0,2.3336
GTF2E2,3.0,4.0,3.0626
GTF2F1,3.0,7.0,2.967
GTF2F2,3.0,2.0,4.1211
GTF2H1,3.0,2.0,3.5737
GTF2H2,3.0,4.667,1.5901
GTF2H2C,3.0,4.0,1.7908
GTF2H3,3.0,1.5,2.4618
GTF3A,3.0,7.0,2.3826
GTF3C1,3.0,8.0,1.5889
GTF3C2,3.0,3.0,1.953
GTF3C3,3.0,6.833,2.086
GTF3C5,3.0,6.0,1.4287
GTF3C6,3.0,5.0,1.1549
GUK1,3.0,7.0,1.8939
H2AFX,3.0,6.667,1.5746
H2AFZ,3.0,8.0,2.9236
HARS,3.0,4.0,5.6764
HAUS1,3.0,7.0,2.9157
HAUS4,3.0,3.0,2.5839
HAUS6,3.0,7.0,3.8169
HAUS8,3.0,4.0,1.9197
HDAC3,3.0,7.0,2.7281
HECTD1,3.0,2.5,1.5637
HGS,3.0,4.0,4.0576
HINFP,3.0,6.0,3.5766
HIST1H2BC,3.0,4.0,2.163
HIST1H2BN,3.0,5.0,1.6146
HJURP,3.0,8.0,1.5376
HMGA1,3.0,7.0,1.6267
HMGCS1,3.0,5.667,2.5538
HNRNPC,3.0,1.0,4.7733
HSCB,3.0,7.0,2.3539
HSD17B12,3.0,5.5,3.0919
HSPA9,3.0,3.0,8.5593
HYOU1,3.0,2.0,2.9494
IARS,3.0,4.0,4.2443
IFITM2,3.0,8.0,1.3303
ILF2,3.0,8.0,2.9572
IMP4,3.0,3.0,4.7239
ING3,3.0,8.0,2.5669
INO80,3.0,1.0,2.5015
INO80B,3.0,1.0,2.3077
INTS1,3.0,7.0,1.6471
INTS2,3.0,3.5,8.1405
INTS4,3.0,2.0,5.3649
INTS5,3.0,5.5,6.2316
INTS8,3.0,6.0,6.5001
INTS9,3.0,3.167,4.8687
IPO11,3.0,6.0,2.4159
IPO13,3.0,1.833,3.991
IPO7,3.0,7.833,2.3153
ISCA2,3.0,6.0,1.3419
ISG20L2,3.0,2.0,3.7175
JMJD6,3.0,3.667,1.4291
KANSL3,3.0,8.0,2.8302
KARS,3.0,2.0,3.7916
KCTD10,3.0,8.0,3.545
KIAA1143,3.0,7.0,1.3599
KIF14,3.0,7.0,1.6681
KIF18B,3.0,4.667,2.0042
KIF20A,3.0,5.667,3.1156
KIF4A,3.0,8.0,1.5097
KLC2,3.0,7.0,1.4911
KPNA6,3.0,8.0,2.3459
KRI1,3.0,7.0,3.8675
KRR1,3.0,3.167,4.0181
KTI12,3.0,7.0,2.2981
LAMTOR2,3.0,1.0,3.1198
LAMTOR3,3.0,3.333,3.1985
LARS,3.0,4.0,4.145
