perturbation,depth_mean,effect_size,n_de,n_cells
MED12,4.5,6.8265,656,567
MED17,3.0,6.667,656,143
MED20,3.0,4.8462,460,78
MED28,4.125,5.5784,555,66
MED29,2.625,4.4686,417,86
MED30,2.125,7.6889,713,283
MED7,3.0,6.753,617,265
MED8,3.625,4.3572,410,94
METAP1,7.0,1.8652,45,96
METAP2,4.75,2.7767,167,145
METTL1,7.0,1.4208,8,199
METTL16,5.75,3.1814,256,42
METTL3,6.0,2.2064,112,127
MEX3A,1.0,1.6429,35,165
MFAP1,3.0,5.0197,502,164
MICOS10,6.75,2.751,157,83
MIOS,6.0,1.9032,67,160
MIPEP,8.0,1.7908,43,90
MIS12,1.25,2.187,94,80
MIS18A,7.875,1.4891,11,119
MIS18BP1,7.0,1.7589,38,99
MMS19,5.0,1.657,43,128
MMS22L,3.75,3.5505,312,54
MNAT1,4.0,3.4304,299,79
MOB4,8.0,2.2709,100,105
MPHOSPH10,6.5,5.0688,523,38
MRGBP,1.0,3.0078,217,68
MRPL1,1.0,1.7527,45,148
MRPL10,2.0,2.6624,147,96
MRPL13,3.0,2.626,161,80
MRPL15,2.75,3.0592,243,42
MRPL16,5.25,2.5439,138,83
MRPL17,1.375,2.793,167,96
MRPL18,2.0,2.5481,140,162
MRPL19,2.0,2.6057,136,177
MRPL2,4.75,2.4262,113,131
MRPL22,7.25,2.5336,119,94
MRPL27,1.75,2.6596,161,94
MRPL28,8.0,2.8721,205,42
MRPL3,2.75,2.4718,128,156
MRPL33,3.25,2.5416,131,126
MRPL36,2.0,2.186,86,179
MRPL38,4.875,2.2465,100,132
MRPL39,8.0,2.7047,150,146
MRPL41,5.0,2.6218,147,67
MRPL43,5.375,2.7142,142,90
MRPL44,3.5,2.6693,175,68
MRPL45,1.5,1.5787,20,143
MRPL49,3.75,3.9603,400,36
MRPL50,7.125,2.1284,86,147
MRPL51,8.0,2.8954,150,104
MRPL54,8.0,2.211,110,112
MRPL55,2.5,2.2165,81,153
MRPL9,4.25,1.9396,62,101
MRPS10,4.125,2.2071,91,100
MRPS11,6.0,2.6344,148,90
MRPS12,7.0,2.9382,211,50
MRPS14,3.0,3.9,247,82
MRPS16,7.0,2.8532,210,39
MRPS18A,8.0,2.478,119,108
MRPS2,6.5,2.2508,98,93
MRPS23,7.625,2.2069,89,117
MRPS25,6.0,2.0218,69,98
MRPS27,2.0,3.2027,198,76
MRPS31,6.0,1.9683,63,98
MRPS34,5.0,3.1141,213,128
MRPS6,5.25,1.6674,34,143
MRPS7,7.25,2.033,82,116
MRPS9,8.0,2.6848,176,69
MRTO4,7.125,2.3333,124,65
MSRB1,5.75,1.1892,3,199
MT2A,7.0,1.5599,22,109
MTOR,5.0,4.0245,374,93
MTPAP,6.0,6.0562,219,86
MVK,7.0,1.68,42,133
MYBBP1A,2.0,3.3085,234,106
MYBL2,4.875,3.2494,224,81
MYCBP,7.0,1.2615,6,166
N6AMT1,3.0,1.872,51,134
NAA15,8.0,2.3685,131,107
NAA25,6.875,2.5012,133,162
NACA,1.0,4.9664,463,306
NAE1,4.0,2.7904,175,87
NAF1,6.25,1.9175,61,84
NAGLU,7.0,1.068,2,254
NAPG,4.0,2.1875,87,58
NARS,4.0,5.0031,414,149
NASP,6.0,1.9774,8,147
NBAS,6.0,2.4659,141,94
NCAPD2,7.0,2.6506,169,44
NCAPD3,1.0,2.0474,68,74
NCAPG2,6.25,1.9429,59,81
NCAPH,3.0,3.3155,239,64
NCAPH2,1.0,1.4888,17,134
NCBP1,6.0,5.4377,503,53
NCBP2,6.0,4.7718,333,765
NCKAP1,1.0,3.0379,245,64
NDUFA6,5.875,1.7095,38,151
NDUFA8,8.0,2.0722,86,100
NDUFAF3,6.0,2.1374,76,75
NDUFB10,6.0,1.7018,39,148
NDUFB3,6.0,1.5149,20,119
NDUFB4,6.625,1.786,56,159
NDUFB6,8.0,1.4002,14,185
NDUFB7,4.125,2.2277,109,64
NDUFB8,6.0,1.6375,46,187
NDUFS3,1.625,1.8487,48,100
NEDD8,6.0,3.7454,279,191
NELFA,6.0,3.6808,269,82
NELFB,6.0,2.9629,212,125
NELFCD,6.0,2.3874,115,174
NELFE,6.0,2.9569,219,66
NEMF,7.125,2.4187,123,61
NEPRO,3.0,4.518,473,42
NFATC2IP,5.375,1.5739,22,103
NFRKB,1.0,2.1306,92,223
NHLRC2,1.0,1.7389,36,90
NIFK,2.0,4.1864,321,222
NIP7,7.0,3.217,219,216
NISCH,7.0,1.4576,6,140
NKAP,5.0,3.8529,363,106
NLE1,2.0,3.611,237,396
NMD3,2.0,3.3892,268,57
NOB1,5.0,3.4941,298,45
NOC3L,3.25,3.4441,251,73
NOC4L,4.875,4.7302,494,32
NOL12,2.0,2.9122,200,83
NOL7,7.0,2.5174,148,55
NOL8,2.0,3.2866,253,70
NOLC1,8.0,1.9866,71,112
NOM1,8.0,3.288,256,65
NOP10,8.0,2.4749,120,139
NOP14,6.125,4.5854,470,38
NOP16,2.0,3.8828,302,133
NPLOC4,5.0,6.2215,594,52
NPM3,7.625,2.2877,100,57
NRBP1,5.0,3.3559,278,62
NSL1,7.625,2.5339,174,55
NSMCE1,7.0,2.1745,87,60
NSMCE2,3.875,1.5684,21,109
NSUN4,5.0,1.3897,8,151
NUDC,1.0,2.3155,125,110
NUDCD3,7.0,2.7146,177,108
NUFIP1,7.0,2.5765,148,57
NUP214,8.0,2.1667,52,116
NUP35,8.0,2.3231,112,63
NUP54,6.0,3.987,297,266
NUP62,6.0,6.642,587,86
NUP85,6.0,3.4138,274,107
NUP88,6.0,4.9957,510,35
NVL,2.625,2.9584,192,105
OGFOD1,2.0,3.7774,297,101
OPA1,5.0,3.2266,253,53
ORC4,6.75,1.8452,52,89
ORC5,8.0,2.2352,106,89
OSGEP,5.625,2.0226,61,63
OSTC,3.0,1.2909,11,196
OXA1L,5.0,3.4179,238,305
PABPN1,1.625,4.1876,306,121
PAF1,5.375,6.917,667,229
PAM16,2.0,5.2489,513,50
PARN,2.875,1.7219,35,117
PAXBP1,5.0,3.4861,299,114
PCBP1,2.25,2.5318,153,98
PCNA,5.5,5.729,533,106
PDAP1,5.125,3.6878,332,46
PDCD11,6.875,5.1466,499,95
PDCD2,4.0,2.9927,194,69
PDCD6,8.0,1.2353,6,181
PDPK1,8.0,2.3318,119,78
PELP1,1.0,3.8371,319,60
PES1,2.0,4.1123,358,54
PET117,6.0,2.2249,79,80
PFDN1,7.0,3.1466,294,31
PFDN2,2.0,4.1854,379,83
PFDN4,5.0,3.1775,298,34
PFDN5,5.0,1.5751,17,101
PFDN6,7.0,1.9415,69,93
PFN1,8.0,2.5229,17,232
PGAM1,8.0,2.0847,71,157
PGD,3.125,2.9216,190,98
PGK1,8.0,3.4985,300,30
PGS1,6.0,1.8154,42,103
PHB2,3.0,8.6043,720,327
PIK3C3,7.0,1.6054,25,108
PIK3R4,4.125,1.9638,59,75
PKMYT1,7.0,1.9003,51,87
PLK4,7.375,3.5045,352,32
PMF1,1.5,2.1454,100,255
PMPCA,2.0,3.4842,248,114
PMPCB,2.0,4.4314,329,471
PNKP,7.75,1.2256,1,176
PNN,6.0,3.9105,340,65
PNPT1,4.25,4.2825,167,112
POGZ,5.375,2.7646,204,38
POLD1,6.0,3.5525,281,197
POLD2,6.0,3.3573,282,70
POLD3,6.0,3.6218,300,65
POLE,6.0,3.8558,333,154
POLR1A,1.5,3.9572,313,115
POLR1B,4.625,5.166,472,174
POLR1E,8.0,2.5037,127,202
POLR2G,4.0,6.5485,636,131
POLR2H,2.0,6.825,684,92
POLR3B,4.0,2.4821,148,109
POLR3E,8.0,1.7649,51,192
POLR3H,2.0,1.7456,34,88
POLR3K,1.0,2.0626,65,107
POP1,5.25,3.3963,257,82
POP5,6.0,3.8796,330,50
POP7,5.875,1.4213,20,209
PPA2,6.0,2.0864,78,61
PPAN,2.0,3.7779,294,87
PPARGC1B,7.125,1.7257,33,129
PPIA,8.0,1.3789,9,147
PPIE,6.375,5.6224,600,39
PPIH,6.25,2.5218,150,105
PPIL2,7.5,1.8325,45,106
PPME1,4.0,1.3697,3,208
PPP1R2,7.0,2.0885,69,72
PPP2CA,7.0,1.7518,57,137
PPP4C,4.0,1.9351,68,164
PPP4R2,2.5,1.834,57,162
PPP6C,1.0,1.8049,46,99
PPRC1,6.0,3.9362,210,112
PRELID1,4.0,2.191,94,126
PRELID3B,3.0,4.0833,313,235
PRIM1,6.0,4.0561,339,151
PRKRA,4.625,2.334,104,68
PRMT1,6.375,3.0922,253,48
PRORP,1.0,2.9315,220,40
PRPF18,3.5,3.8632,369,256
PRPF19,5.0,4.2341,388,98
PRPF4,2.5,5.1608,477,101
PRPF4B,6.0,2.4692,134,160
PSMB2,5.0,4.3937,424,46
PSMD13,4.5,4.5559,394,96
PSMD9,7.0,1.7347,36,85
PSME2,6.0,1.3806,5,149
PSMG3,5.0,1.2428,16,324
PTK2,4.875,1.6175,23,131
PTMA,1.0,3.0081,25,145
PTPMT1,6.0,1.3732,12,178
PTPN23,7.5,1.4235,15,132
PXN,6.375,1.8342,15,159
QARS,4.0,5.3651,419,376
QRSL1,7.25,1.5857,22,120
RAB18,7.0,3.2907,295,39
RAB4A,5.375,1.1064,6,274
RAB6A,8.0,2.2726,94,56
RABGGTB,1.0,1.4379,11,152
RAC3,4.75,1.4146,16,211
RAD17,7.0,1.4983,16,121
RAD51,2.375,2.226,115,227
RAD51C,2.25,2.7173,176,59
RAD51D,1.0,1.4333,13,136
RAD9A,6.875,2.5169,136,40
RANGAP1,6.0,3.7017,294,120
RARS,4.125,4.5955,371,334
RARS2,1.125,2.2895,124,139
RBBP8,6.25,1.9135,51,114
RBM17,4.0,2.9579,205,66
RBM19,6.0,3.7027,348,37
RBM25,5.25,6.3076,614,64
RBM42,1.0,3.0145,227,68
RBM48,7.0,3.1926,248,55
RBMX2,2.875,4.4552,409,225
RBMXL1,7.125,2.2681,102,58
RCL1,6.5,3.9868,317,104
REXO2,5.0,3.1848,215,65
RFC2,6.0,3.0193,188,85
RFC3,6.0,2.6167,147,211
RFC4,6.0,3.0474,214,58
RFC5,6.625,2.2042,101,101
RFT1,3.75,1.6727,31,118
RINT1,6.125,2.0389,77,143
RIOK1,4.0,3.7523,258,290
RNASEH2C,1.0,2.3769,114,89
RNF123,8.0,1.668,30,108
RNF20,6.25,4.6536,407,118
RNF8,5.75,1.2603,2,167
RNGTT,5.75,2.1016,82,110
RNPC3,7.0,3.1384,225,74
ROMO1,5.5,3.9759,321,80
RPA2,6.0,4.1823,371,177
RPA3,6.0,3.529,283,158
RPAP2,2.75,5.001,452,373
RPF1,7.0,3.1912,200,108
RPL14,1.0,6.8645,599,186
RPL17,2.0,7.7022,704,131
RPL23,1.0,6.141,586,354
RPL24,2.0,5.2233,448,414
RPL26,2.0,5.3645,484,188
RPL27A,2.125,6.4147,612,176
RPL28,7.5,2.9366,244,46
RPL29,8.0,3.3525,109,82
RPL30,2.0,5.0746,448,299
RPL31,1.0,6.5832,621,251
RPL35,2.0,6.0454,650,34
RPL36A,7.0,3.3714,175,74
RPL36AL,6.0,1.3771,11,143
RPL39,2.25,5.2246,455,31
RPL41,3.0,2.5669,163,46
RPL6,2.0,6.4846,618,241
RPL7,1.0,5.8698,568,230
RPLP2,2.0,3.4642,236,188
RPN1,5.0,3.0474,221,43
RPN2,5.0,1.8512,36,94
RPP21,5.75,2.3288,120,57
RPP30,6.0,3.7474,263,97
RPP38,8.0,3.1716,230,49
RPS11,2.0,5.3753,475,227
RPS12,1.0,4.8084,406,400
RPS13,2.75,5.8011,581,124
RPS18,5.0,6.272,536,114
RPS21,2.875,3.5962,300,64
RPS23,8.0,5.8173,568,92
RPS26,1.0,5.8851,597,75
RPS27,6.25,5.0424,389,154
RPS27A,6.5,5.968,595,81
RPS4X,5.0,6.258,629,167
RPS5,2.0,5.3155,523,126
RPS6,3.875,6.5998,579,167
RPS7,5.0,5.6104,543,231
RPTOR,5.0,3.2251,255,81
RPUSD3,2.0,1.5266,22,158
RPUSD4,3.5,1.9945,67,118
RRN3,6.0,4.9218,509,38
RRP1,2.0,2.9043,193,90
RRP12,6.0,4.094,301,191
RRP7A,5.25,4.7495,478,40
RRP9,4.5,2.8607,169,92
RRS1,2.0,4.2813,364,64
RSRC2,8.0,2.1338,70,87
RTCB,6.875,1.7984,58,152
RTF1,6.0,6.7788,708,53
SACM1L,8.0,1.3547,18,185
SAE1,7.0,2.7839,165,104
SAMM50,2.0,4.0536,331,94
SAP18,4.625,3.6682,312,51
SARS2,1.0,1.7015,50,150
SART3,5.0,2.9476,208,142
SBNO1,3.625,1.7498,53,157
SCAF1,5.875,3.1972,253,158
